Id,MSSubClass,LotArea,OverallCond,YearBuilt,TotalBsmtSF,SalePrice,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE
1,60,8450,5,2003,856.0,208500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,20,9600,8,1976,1262.0,181500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,60,11250,5,2001,920.0,223500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,70,9550,5,1915,756.0,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,60,14260,5,2000,1145.0,250000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,50,14115,5,1993,796.0,143000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,20,10084,5,2004,1686.0,307000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,60,10382,6,1973,1107.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,50,6120,5,1931,952.0,129900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,190,7420,6,1939,991.0,118000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,20,11200,5,1965,1040.0,129500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,60,11924,5,2005,1175.0,345000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,20,12968,6,1962,912.0,144000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,20,10652,5,2006,1494.0,279500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,20,10920,5,1960,1253.0,157000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,45,6120,8,1929,832.0,132000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,20,11241,7,1970,1004.0,149000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,90,10791,5,1967,0.0,90000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
19,20,13695,5,2004,1114.0,159000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,20,7560,6,1958,1029.0,139000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,60,14215,5,2005,1158.0,325300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,45,7449,7,1930,637.0,139400.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,20,9742,5,2002,1777.0,230000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,120,4224,7,1976,1040.0,129900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
25,20,8246,8,1968,1060.0,154000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,20,14230,5,2007,1566.0,256300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,20,7200,7,1951,900.0,134800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,20,11478,5,2007,1704.0,306000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,20,16321,6,1957,1484.0,207500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,6324,6,1927,520.0,68500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31,70,8500,4,1920,649.0,40000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,20,8544,6,1966,1228.0,149350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,20,11049,5,2007,1234.0,179900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,20,10552,5,1959,1398.0,165500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,120,7313,5,2005,1561.0,277500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
36,60,13418,5,2004,1117.0,309000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,20,10859,5,1994,1097.0,145000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,20,8532,6,1954,1297.0,153000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,20,7922,7,1953,1057.0,109000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,90,6040,5,1955,0.0,82000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
41,20,8658,5,1965,1088.0,160000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,20,16905,6,1959,1350.0,170000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,85,9180,7,1983,840.0,144000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,20,9200,6,1975,938.0,130250.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,20,7945,6,1959,1150.0,141000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,120,7658,5,2005,1752.0,319900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
47,50,12822,5,2003,1434.0,239686.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,20,11096,5,2006,1656.0,249700.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49,190,4456,5,1920,736.0,113000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
